model,year,mileage,price
Gentra,2022,45000,13500
Cobalt,2021,55000,11800
Nexia 3,2019,85000,9200
Spark,2018,110000,8500
Malibu 2,2021,35000,28500
Tracker 2,2023,15000,21000
Equinox,2022,28000,31500
Lacetti,2014,195000,8200
Captiva 4,2018,90000,23000
Damas,2023,5000,8800
Gentra,2020,75000,11500
Cobalt,2019,95000,10200
Nexia 3,2022,30000,11000
Spark,2020,60000,9800
Malibu 2,2019,80000,24000
Tracker 2,2022,25000,19500
Equinox,2021,45000,28000
Lacetti,2012,250000,7500
Captiva 4,2017,115000,21000
Damas,2021,45000,7800
Gentra,2023,12000,15500
Cobalt,2023,8000,13800
Nexia 3,2020,70000,9800
Spark,2017,135000,7800
Malibu 2,2022,15000,31000
Tracker 2,2023,5000,22500
Equinox,2023,10000,34000
Lacetti,2015,160000,9000
Captiva 4,2018,85000,23500
Damas,2022,20000,8300
Gentra,2018,120000,10200
Cobalt,2018,130000,9500
Nexia 3,2018,115000,8500
Spark,2021,40000,10500
Malibu 2,2020,55000,26500
Tracker 2,2021,48000,17500
Equinox,2020,65000,25500
Lacetti,2013,210000,7800
Captiva 4,2016,140000,19500
Damas,2020,65000,7200
Gentra,2021,55000,12800
Cobalt,2022,28000,12500
Nexia 3,2021,45000,10500
Spark,2019,90000,8900
Malibu 2,2018,105000,22500
Tracker 2,2022,32000,19000
Equinox,2022,22000,32000
Lacetti,2011,280000,7000
Captiva 4,2015,165000,18000
Damas,2024,1000,9200
